County,Year,MonthNo,Value
Alameda,2014,1,20.041935
Alameda,2014,2,8.014286
Alameda,2014,3,8.677419
Alameda,2014,4,10.053333
Alameda,2014,5,10.167742
Alameda,2014,6,11.793333
Alameda,2014,7,8.922581
Alameda,2014,8,7.941935
Alameda,2014,9,10.090000
Alameda,2014,10,9.393548
Alameda,2014,11,13.013333
Alameda,2014,12,9.277419
Alameda,2015,1,22.154839
Alameda,2015,2,12.085714
Alameda,2015,3,10.822581
Alameda,2015,4,9.330000
Alameda,2015,5,8.658065
Alameda,2015,6,10.686667
Alameda,2015,7,7.648387
Alameda,2015,8,11.958065
Alameda,2015,9,9.970000
Alameda,2015,10,9.590323
Alameda,2015,11,10.923333
Alameda,2015,12,10.522581
Alameda,2016,1,10.525806
Alameda,2016,2,11.886207
Alameda,2016,3,7.990323
Alameda,2016,4,9.586667
Alameda,2016,5,9.832258
Alameda,2016,6,10.400000
Alameda,2016,7,9.287097
Alameda,2016,8,8.787097
Alameda,2016,9,11.890000
Alameda,2016,10,6.993548
Alameda,2016,11,9.996667
Alameda,2016,12,11.922581
Alameda,2017,1,11.870968
Alameda,2017,2,8.689286
Alameda,2017,3,9.641935
Alameda,2017,4,9.793333
Alameda,2017,5,11.367742
Alameda,2017,6,11.956667
Alameda,2017,7,11.835484
Alameda,2017,8,13.954839
Alameda,2017,9,17.990000
Alameda,2017,10,21.212903
Alameda,2017,11,12.710000
Alameda,2017,12,21.896774
Alameda,2018,1,17.390323
Alameda,2018,2,13.085714
Alameda,2018,3,10.706452
Alameda,2018,4,12.266667
Alameda,2018,5,10.948387
Alameda,2018,6,13.933333
Alameda,2018,7,11.687097
Alameda,2018,8,19.067742
Alameda,2018,9,15.196667
Alameda,2018,10,12.625806
Alameda,2018,11,50.473333
Alameda,2018,12,11.635484
Alameda,2019,1,11.919355
Alameda,2019,2,6.303571
Alameda,2019,3,7.645161
Alameda,2019,4,10.350000
Alameda,2019,5,8.693548
Alameda,2019,6,10.566667
Alameda,2019,7,10.203226
Alameda,2019,8,8.945161
Alameda,2019,9,8.953333
Alameda,2019,10,11.777419
Alameda,2019,11,8.803333
Alameda,2019,12,0.000000
Butte,2014,1,21.903226
Butte,2014,2,11.496429
Butte,2014,3,6.141935
Butte,2014,4,6.953333
Butte,2014,5,7.212903
Butte,2014,6,9.810000
Butte,2014,7,12.719355
Butte,2014,8,12.012903
Butte,2014,9,13.480000
Butte,2014,10,11.377419
Butte,2014,11,14.470000
Butte,2014,12,10.745161
Butte,2015,1,23.374194
Butte,2015,2,12.382143
Butte,2015,3,6.332258
Butte,2015,4,5.580000
Butte,2015,5,7.606452
Butte,2015,6,8.410000
Butte,2015,7,8.319355
Butte,2015,8,12.848387
Butte,2015,9,11.543333
Butte,2015,10,9.061290
Butte,2015,11,16.910000
Butte,2015,12,14.435484
Butte,2016,1,11.500000
Butte,2016,2,11.586207
Butte,2016,3,6.338710
Butte,2016,4,6.363333
Butte,2016,5,7.603226
Butte,2016,6,10.090000
Butte,2016,7,11.545161
Butte,2016,8,14.712903
Butte,2016,9,18.390000
Butte,2016,10,11.361290
Butte,2016,11,17.790000
Butte,2016,12,23.006452
Butte,2017,1,12.819355
Butte,2017,2,12.575000
Butte,2017,3,9.774194
Butte,2017,4,9.483333
Butte,2017,5,9.841935
Butte,2017,6,10.546667
Butte,2017,7,13.141935
Butte,2017,8,17.574194
Butte,2017,9,18.133333
Butte,2017,10,17.209677
Butte,2017,11,15.193333
Butte,2017,12,25.758065
Butte,2018,1,16.441935
Butte,2018,2,13.146429
Butte,2018,3,7.561290
Butte,2018,4,8.153333
Butte,2018,5,9.822581
Butte,2018,6,10.863333
Butte,2018,7,19.070968
Butte,2018,8,31.612903
Butte,2018,9,14.743333
Butte,2018,10,13.935484
Butte,2018,11,88.953333
Butte,2018,12,13.767742
Butte,2019,1,15.209677
Butte,2019,2,8.307143
Butte,2019,3,7.929032
Butte,2019,4,9.220000
Butte,2019,5,8.967742
Butte,2019,6,8.873333
Butte,2019,7,10.193548
Butte,2019,8,9.638710
Butte,2019,9,8.310000
Butte,2019,10,9.664516
Butte,2019,11,14.086667
Butte,2019,12,0.000000
Calaveras,2014,1,11.725806
Calaveras,2014,2,9.600000
Calaveras,2014,3,6.958065
Calaveras,2014,4,8.020000
Calaveras,2014,5,7.077419
Calaveras,2014,6,8.256667
Calaveras,2014,7,7.248387
Calaveras,2014,8,9.348387
Calaveras,2014,9,6.590000
Calaveras,2014,10,6.103226
Calaveras,2014,11,5.516667
Calaveras,2014,12,5.416129
Calaveras,2015,1,11.080645
Calaveras,2015,2,6.464286
Calaveras,2015,3,5.141935
Calaveras,2015,4,4.810000
Calaveras,2015,5,5.319355
Calaveras,2015,6,5.390000
Calaveras,2015,7,4.890323
Calaveras,2015,8,6.996774
Calaveras,2015,9,31.250000
Calaveras,2015,10,6.351613
Calaveras,2015,11,8.820000
Calaveras,2015,12,8.812903
Calaveras,2016,1,7.851613
Calaveras,2016,2,9.420690
Calaveras,2016,3,7.074194
Calaveras,2016,4,5.826667
Calaveras,2016,5,6.087097
Calaveras,2016,6,6.393333
Calaveras,2016,7,7.045161
Calaveras,2016,8,8.503226
Calaveras,2016,9,9.610000
Calaveras,2016,10,5.345161
Calaveras,2016,11,5.200000
Calaveras,2016,12,13.241935
Calaveras,2017,1,10.232258
Calaveras,2017,2,10.000000
Calaveras,2017,3,8.403226
Calaveras,2017,4,8.953333
Calaveras,2017,5,13.219355
Calaveras,2017,6,0.970000
Calaveras,2017,7,8.612903
Calaveras,2017,8,14.658065
Calaveras,2017,9,15.676667
Calaveras,2017,10,15.258065
Calaveras,2017,11,12.053333
Calaveras,2017,12,15.983871
Calaveras,2018,1,13.632258
Calaveras,2018,2,13.653571
Calaveras,2018,3,9.383871
Calaveras,2018,4,10.296667
Calaveras,2018,5,11.448387
Calaveras,2018,6,12.246667
Calaveras,2018,7,17.561290
Calaveras,2018,8,30.493548
Calaveras,2018,9,12.936667
Calaveras,2018,10,7.609677
Calaveras,2018,11,16.546667
Calaveras,2018,12,16.661290
Calaveras,2019,1,6.067742
Calaveras,2019,2,4.125000
Calaveras,2019,3,4.551613
Calaveras,2019,4,4.520000
Calaveras,2019,5,4.967742
Calaveras,2019,6,5.180000
Calaveras,2019,7,5.619355
Calaveras,2019,8,5.612903
Calaveras,2019,9,3.663333
Calaveras,2019,10,5.080645
Calaveras,2019,11,3.710000
Calaveras,2019,12,0.000000
Colusa,2014,1,13.309677
Colusa,2014,2,6.085714
Colusa,2014,3,4.529032
Colusa,2014,4,9.050000
Colusa,2014,5,9.016129
Colusa,2014,6,6.283333
Colusa,2014,7,8.767742
Colusa,2014,8,13.051613
Colusa,2014,9,13.170000
Colusa,2014,10,11.416129
Colusa,2014,11,11.546667
Colusa,2014,12,10.312903
Colusa,2015,1,17.877419
Colusa,2015,2,12.439286
Colusa,2015,3,9.261290
Colusa,2015,4,8.013333
Colusa,2015,5,11.164516
Colusa,2015,6,12.476667
Colusa,2015,7,9.422581
Colusa,2015,8,14.025806
Colusa,2015,9,8.720000
Colusa,2015,10,8.832258
Colusa,2015,11,7.470000
Colusa,2015,12,9.558065
Colusa,2016,1,7.541935
Colusa,2016,2,7.744828
Colusa,2016,3,4.964516
Colusa,2016,4,6.236667
Colusa,2016,5,8.309677
Colusa,2016,6,8.166667
Colusa,2016,7,9.067742
Colusa,2016,8,10.906452
Colusa,2016,9,9.826667
Colusa,2016,10,6.393548
Colusa,2016,11,7.350000
Colusa,2016,12,7.709677
Colusa,2017,1,5.087097
Colusa,2017,2,3.446429
Colusa,2017,3,3.735484
Colusa,2017,4,3.170000
Colusa,2017,5,5.738710
Colusa,2017,6,6.016667
Colusa,2017,7,6.929032
Colusa,2017,8,4.051613
Colusa,2017,9,14.143333
Colusa,2017,10,11.041935
Colusa,2017,11,7.530000
Colusa,2017,12,15.141935
Colusa,2018,1,10.719355
Colusa,2018,2,7.603571
Colusa,2018,3,4.925806
Colusa,2018,4,6.146667
Colusa,2018,5,6.029032
Colusa,2018,6,6.823333
Colusa,2018,7,11.829032
Colusa,2018,8,24.606452
Colusa,2018,9,12.466667
Colusa,2018,10,8.938710
Colusa,2018,11,33.943333
Colusa,2018,12,8.325806
Colusa,2019,1,9.167742
Colusa,2019,2,3.292857
Colusa,2019,3,3.154839
Colusa,2019,4,4.933333
Colusa,2019,5,5.064516
Colusa,2019,6,6.986667
Colusa,2019,7,8.790323
Colusa,2019,8,6.738710
Colusa,2019,9,5.546667
Colusa,2019,10,7.470968
Colusa,2019,11,8.266667
Colusa,2019,12,0.000000
ContraCosta,2014,1,17.735484
ContraCosta,2014,2,11.557143
ContraCosta,2014,3,11.093548
ContraCosta,2014,4,10.916667
ContraCosta,2014,5,10.677419
ContraCosta,2014,6,12.830000
ContraCosta,2014,7,7.690323
ContraCosta,2014,8,8.580645
ContraCosta,2014,9,10.423333
ContraCosta,2014,10,6.435484
ContraCosta,2014,11,11.806667
ContraCosta,2014,12,10.122581
ContraCosta,2015,1,20.616129
ContraCosta,2015,2,11.464286
ContraCosta,2015,3,7.541935
ContraCosta,2015,4,7.040000
ContraCosta,2015,5,7.500000
ContraCosta,2015,6,9.466667
ContraCosta,2015,7,7.238710
ContraCosta,2015,8,11.632258
ContraCosta,2015,9,8.096667
ContraCosta,2015,10,8.458065
ContraCosta,2015,11,8.880000
ContraCosta,2015,12,9.848387
ContraCosta,2016,1,9.338710
ContraCosta,2016,2,8.417241
ContraCosta,2016,3,6.054839
ContraCosta,2016,4,8.156667
ContraCosta,2016,5,9.906452
ContraCosta,2016,6,8.640000
ContraCosta,2016,7,6.977419
ContraCosta,2016,8,5.374194
ContraCosta,2016,9,10.626667
ContraCosta,2016,10,7.538710
ContraCosta,2016,11,9.746667
ContraCosta,2016,12,11.941935
ContraCosta,2017,1,11.200000
ContraCosta,2017,2,8.735714
ContraCosta,2017,3,7.967742
ContraCosta,2017,4,8.880000
ContraCosta,2017,5,10.670968
ContraCosta,2017,6,10.843333
ContraCosta,2017,7,11.606452
ContraCosta,2017,8,14.783871
ContraCosta,2017,9,15.793333
ContraCosta,2017,10,22.474194
ContraCosta,2017,11,11.306667
ContraCosta,2017,12,19.525806
ContraCosta,2019,1,10.587097
ContraCosta,2019,2,5.257143
ContraCosta,2019,3,5.548387
ContraCosta,2019,4,8.606667
ContraCosta,2019,5,7.125806
ContraCosta,2019,6,9.563333
ContraCosta,2019,7,8.819355
ContraCosta,2019,8,7.751613
ContraCosta,2019,9,6.946667
ContraCosta,2019,10,9.538710
ContraCosta,2019,11,7.063333
ContraCosta,2019,12,0.000000
ContraCosta,2018,1,16.732258
ContraCosta,2018,2,11.950000
ContraCosta,2018,3,9.522581
ContraCosta,2018,4,11.063333
ContraCosta,2018,5,10.209677
ContraCosta,2018,6,14.386667
ContraCosta,2018,7,13.232258
ContraCosta,2018,8,16.090323
ContraCosta,2018,9,12.240000
ContraCosta,2018,10,9.616129
ContraCosta,2018,11,44.843333
ContraCosta,2018,12,10.658065
DelNorte,2014,1,0.767742
DelNorte,2014,2,0.778571
DelNorte,2014,3,1.377419
DelNorte,2014,4,1.530000
DelNorte,2014,5,1.151613
DelNorte,2014,6,1.920000
DelNorte,2014,7,1.151613
DelNorte,2014,8,0.903226
DelNorte,2014,9,1.896667
DelNorte,2014,10,1.083871
DelNorte,2014,11,0.836667
DelNorte,2014,12,0.380645
DelNorte,2015,1,0.967742
DelNorte,2015,2,0.578571
DelNorte,2015,3,0.935484
DelNorte,2015,4,1.470000
DelNorte,2015,5,1.248387
DelNorte,2015,6,2.326667
DelNorte,2015,7,1.693548
DelNorte,2015,8,3.803226
DelNorte,2015,9,1.750000
DelNorte,2015,10,1.161290
DelNorte,2015,11,1.016667
DelNorte,2015,12,0.264516
DelNorte,2016,1,0.774194
DelNorte,2016,2,0.751724
DelNorte,2016,3,1.283871
DelNorte,2016,4,1.133333
DelNorte,2016,5,1.570968
DelNorte,2016,6,1.263333
DelNorte,2016,7,1.616129
DelNorte,2016,8,0.880645
DelNorte,2016,9,1.536667
DelNorte,2016,10,5.035484
DelNorte,2016,11,5.770000
DelNorte,2016,12,8.241935
DelNorte,2017,1,8.906452
DelNorte,2017,2,5.782143
DelNorte,2017,3,4.203226
DelNorte,2017,4,3.236667
DelNorte,2017,5,2.312903
DelNorte,2017,6,2.186667
DelNorte,2017,7,3.196774
DelNorte,2017,8,6.258065
DelNorte,2017,9,11.453333
DelNorte,2017,10,4.254839
DelNorte,2017,11,7.526667
DelNorte,2017,12,9.890323
DelNorte,2018,1,10.074194
DelNorte,2018,2,8.642857
DelNorte,2018,3,5.319355
DelNorte,2018,4,6.006667
DelNorte,2018,5,0.635484
DelNorte,2018,6,0.976667
DelNorte,2018,7,1.667742
DelNorte,2018,8,1.851613
DelNorte,2018,9,0.000000
DelNorte,2018,10,0.000000
DelNorte,2018,11,0.000000
DelNorte,2018,12,0.000000
ElDorado,2014,1,0.361290
ElDorado,2014,2,0.742857
ElDorado,2014,3,0.803226
ElDorado,2014,4,1.080000
ElDorado,2014,5,0.983871
ElDorado,2014,6,1.266667
ElDorado,2014,7,1.729032
ElDorado,2014,8,1.748387
ElDorado,2014,9,3.926667
ElDorado,2014,10,1.077419
ElDorado,2014,11,0.626667
ElDorado,2014,12,0.970968
ElDorado,2015,1,1.280645
ElDorado,2015,2,0.817857
ElDorado,2015,3,1.154839
ElDorado,2015,4,1.036667
ElDorado,2015,5,1.100000
ElDorado,2015,6,1.230000
ElDorado,2015,7,1.603226
ElDorado,2015,8,1.919355
ElDorado,2015,9,2.606667
ElDorado,2015,10,1.003226
ElDorado,2015,11,1.806667
ElDorado,2015,12,0.780645
ElDorado,2016,1,1.035484
ElDorado,2016,2,0.996552
ElDorado,2016,3,0.632258
ElDorado,2016,4,0.806667
ElDorado,2016,5,0.748387
ElDorado,2016,6,1.143333
ElDorado,2016,7,1.451613
ElDorado,2016,8,3.429032
ElDorado,2016,9,1.790000
ElDorado,2016,10,1.054839
ElDorado,2016,11,1.043333
ElDorado,2016,12,0.929032
ElDorado,2017,1,0.532258
ElDorado,2017,2,0.307143
ElDorado,2017,3,0.712903
ElDorado,2017,4,0.823333
ElDorado,2017,5,1.122581
ElDorado,2017,6,1.170000
ElDorado,2017,7,2.935484
ElDorado,2017,8,2.290323
ElDorado,2017,9,2.256667
ElDorado,2017,10,2.170968
ElDorado,2017,11,0.783333
ElDorado,2017,12,0.916129
ElDorado,2018,1,1.022581
ElDorado,2018,2,1.053571
ElDorado,2018,3,0.545161
ElDorado,2018,4,1.206667
ElDorado,2018,5,0.916129
ElDorado,2018,6,1.256667
ElDorado,2018,7,3.725806
ElDorado,2018,8,5.806452
ElDorado,2018,9,0.000000
ElDorado,2018,10,0.000000
ElDorado,2018,11,0.000000
ElDorado,2018,12,0.000000
Fresno,2014,1,50.306452
Fresno,2014,2,18.782143
Fresno,2014,3,10.396774
Fresno,2014,4,12.826667
Fresno,2014,5,9.635484
Fresno,2014,6,12.896667
Fresno,2014,7,15.783871
Fresno,2014,8,13.719355
Fresno,2014,9,16.726667
Fresno,2014,10,14.616129
Fresno,2014,11,31.866667
Fresno,2014,12,19.141935
Fresno,2015,1,39.122581
Fresno,2015,2,21.335714
Fresno,2015,3,10.938710
Fresno,2015,4,9.463333
Fresno,2015,5,9.296774
Fresno,2015,6,12.413333
Fresno,2015,7,13.570968
Fresno,2015,8,17.432258
Fresno,2015,9,18.330000
Fresno,2015,10,15.235484
Fresno,2015,11,22.120000
Fresno,2015,12,23.593548
Fresno,2016,1,19.180645
Fresno,2016,2,22.710345
Fresno,2016,3,11.225806
Fresno,2016,4,9.750000
Fresno,2016,5,8.277419
Fresno,2016,6,9.340000
Fresno,2016,7,12.116129
Fresno,2016,8,14.367742
Fresno,2016,9,13.350000
Fresno,2016,10,11.793548
Fresno,2016,11,23.816667
Fresno,2016,12,28.629032
Fresno,2017,1,13.841935
Fresno,2017,2,10.546429
Fresno,2017,3,12.083871
Fresno,2017,4,7.940000
Fresno,2017,5,10.432258
Fresno,2017,6,8.676667
Fresno,2017,7,12.429032
Fresno,2017,8,16.412903
Fresno,2017,9,15.900000
Fresno,2017,10,20.854839
Fresno,2017,11,22.240000
Fresno,2017,12,52.725806
Fresno,2018,1,31.267742
Fresno,2018,2,22.407143
Fresno,2018,3,7.793548
Fresno,2018,4,8.156667
Fresno,2018,5,8.067742
Fresno,2018,6,9.723333
Fresno,2018,7,15.835484
Fresno,2018,8,26.909677
Fresno,2018,9,13.153333
Fresno,2018,10,13.212903
Fresno,2018,11,34.970000
Fresno,2018,12,25.248387
Fresno,2019,1,21.880645
Fresno,2019,2,9.085714
Fresno,2019,3,6.764516
Fresno,2019,4,7.746667
Fresno,2019,5,6.587097
Fresno,2019,6,8.516667
Fresno,2019,7,9.135484
Fresno,2019,8,9.567742
Fresno,2019,9,8.890000
Fresno,2019,10,13.361290
Fresno,2019,11,13.510000
Fresno,2019,12,0.000000
Glenn,2014,1,10.025806
Glenn,2014,2,7.267857
Glenn,2014,3,4.093548
Glenn,2014,4,4.546667
Glenn,2014,5,3.896774
Glenn,2014,6,6.873333
Glenn,2014,7,9.532258
Glenn,2014,8,10.051613
Glenn,2014,9,8.630000
Glenn,2014,10,6.641935
Glenn,2014,11,8.283333
Glenn,2014,12,6.696774
Glenn,2015,1,12.851613
Glenn,2015,2,6.185714
Glenn,2015,3,5.387097
Glenn,2015,4,5.240000
Glenn,2015,5,6.567742
Glenn,2015,6,7.756667
Glenn,2015,7,5.212903
Glenn,2015,8,8.606452
Glenn,2015,9,10.630000
Glenn,2015,10,11.309677
Glenn,2015,11,8.150000
Glenn,2015,12,9.177419
Glenn,2016,1,6.609677
Glenn,2016,2,4.500000
Glenn,2016,3,3.545161
Glenn,2016,4,3.250000
Glenn,2016,5,6.480645
Glenn,2016,6,10.806667
Glenn,2016,7,10.045161
Glenn,2016,8,11.987097
Glenn,2016,9,13.600000
Glenn,2016,10,9.238710
Glenn,2016,11,12.743333
Glenn,2016,12,11.103226
Glenn,2017,1,9.874194
Glenn,2017,2,8.235714
Glenn,2017,3,9.741935
Glenn,2017,4,5.556667
Glenn,2017,5,2.254839
Glenn,2017,6,2.170000
Glenn,2017,7,5.338710
Glenn,2017,8,11.564516
Glenn,2017,9,13.986667
Glenn,2017,10,9.445161
Glenn,2017,11,6.246667
Glenn,2017,12,9.280645
Glenn,2018,1,4.254839
Glenn,2018,2,5.235714
Glenn,2018,3,5.009677
Glenn,2018,4,5.436667
Glenn,2018,5,4.938710
Glenn,2018,6,5.156667
Glenn,2018,7,9.954839
Glenn,2018,8,25.141935
Glenn,2018,9,12.433333
Glenn,2018,10,5.461290
Glenn,2018,11,25.000000
Glenn,2018,12,7.764516
Glenn,2019,1,7.003226
Glenn,2019,2,3.589286
Glenn,2019,3,3.587097
Glenn,2019,4,1.496667
Glenn,2019,5,1.358065
Glenn,2019,6,5.550000
Glenn,2019,7,8.425806
Glenn,2019,8,6.003226
Glenn,2019,9,5.353333
Glenn,2019,10,6.638710
Glenn,2019,11,6.590000
Glenn,2019,12,0.000000
Humboldt ,2018,1,4.103226
Humboldt ,2018,2,2.857143
Humboldt ,2018,3,1.532258
Humboldt ,2018,4,2.333333
Humboldt ,2018,5,1.819355
Humboldt ,2018,6,1.766667
Humboldt ,2018,7,3.100000
Humboldt ,2018,8,15.554839
Humboldt ,2018,9,6.250000
Humboldt ,2018,10,5.570968
Humboldt ,2018,11,12.690000
Humboldt ,2018,12,5.612903
Humboldt ,2019,1,2.696774
Humboldt ,2019,2,0.939286
Humboldt ,2019,3,1.883871
Humboldt ,2019,4,0.000000
Humboldt ,2019,5,0.000000
Humboldt ,2019,6,0.000000
Humboldt ,2019,7,0.000000
Humboldt ,2019,8,0.000000
Humboldt ,2019,9,0.000000
Humboldt ,2019,10,0.000000
Humboldt ,2019,11,0.000000
Humboldt ,2019,12,0.000000
Humboldt,2014,1,10.822581
Humboldt,2014,2,5.042857
Humboldt,2014,3,7.358065
Humboldt,2014,4,8.440000
Humboldt,2014,5,7.109677
Humboldt,2014,6,9.590000
Humboldt,2014,7,12.174194
Humboldt,2014,8,8.967742
Humboldt,2014,9,9.563333
Humboldt,2014,10,6.116129
Humboldt,2014,11,5.680000
Humboldt,2014,12,3.554839
Humboldt,2015,1,7.693548
Humboldt,2015,2,6.175000
Humboldt,2015,3,7.283871
Humboldt,2015,4,6.803333
Humboldt,2015,5,1.638710
Humboldt,2015,6,2.176667
Humboldt,2015,7,6.816129
Humboldt,2015,8,8.661290
Humboldt,2015,9,8.390000
Humboldt,2015,10,8.696774
Humboldt,2015,11,7.323333
Humboldt,2015,12,3.664516
Humboldt,2016,1,3.629032
Humboldt,2016,2,5.720690
Humboldt,2016,3,4.035484
Humboldt,2016,4,4.693333
Humboldt,2016,5,7.948387
Humboldt,2016,6,4.716667
Humboldt,2016,7,10.064516
Humboldt,2016,8,10.219355
Humboldt,2016,9,8.493333
Humboldt,2016,10,4.677419
Humboldt,2016,11,4.833333
Humboldt,2016,12,7.122581
Humboldt,2017,1,3.851613
Humboldt,2017,2,1.492857
Humboldt,2017,3,3.058065
Humboldt,2017,4,3.776667
Humboldt,2017,5,4.890323
Humboldt,2017,6,4.350000
Humboldt,2017,7,5.229032
Humboldt,2017,8,11.758065
Humboldt,2017,9,21.286667
Humboldt,2017,10,8.706452
Humboldt,2017,11,2.180000
Humboldt,2017,12,4.725806
Imperial,2016,1,17.874194
Imperial,2016,2,13.617241
Imperial,2016,3,31.100000
Imperial,2016,4,24.010000
Imperial,2016,5,34.667742
Imperial,2016,6,29.476667
Imperial,2016,7,26.138710
Imperial,2016,8,16.754839
Imperial,2016,9,19.813333
Imperial,2016,10,13.635484
Imperial,2016,11,13.910000
Imperial,2016,12,22.909677
Imperial,2014,1,25.212903
Imperial,2014,2,24.407143
Imperial,2014,3,13.680645
Imperial,2014,4,34.040000
Imperial,2014,5,58.522581
Imperial,2014,6,23.486667
