CountyCode,"Crude rates per 10,000",Lower 95% Limit,Upper 95% Limit,Patient_count,Year
6000,48.5,48.5,48.7,"186,540",2014
6001,63.2,62,64.5,"9,909",2014
6003,,,,,2014
6005,61.9,54.1,70.4,227,2014
6007,43.8,41.1,46.6,978,2014
6009,45.7,39.6,52.4,205,2014
6011,41.9,33.8,51.4,92,2014
6013,62.5,61.1,64,"6,784",2014
6015,45,37.6,53.5,128,2014
6017,33,30.4,35.8,602,2014
6019,78.5,76.7,80.3,"7,633",2014
6021,38.2,31.4,46.1,109,2014
6023,66.9,62.6,71.4,905,2014
6025,81.2,77.2,85.4,"1,515",2014
6027,49.6,40,60.9,92,2014
6029,63.3,61.7,65,"5,615",2014
6031,80.1,75.7,84.7,"1,238",2014
6033,74,67.5,80.9,479,2014
6035,30.5,24.9,37,103,2014
6037,50.7,50.3,51.2,"50,852",2014
6039,62.1,58.3,66.2,980,2014
6041,25.2,23.3,27.3,643,2014
6043,33.7,25.7,43.3,60,2014
6045,52,47.3,56.9,462,2014
6047,86.7,83.2,90.3,"2,329",2014
6049,63.8,48.7,82.2,60,2014
6051,34,25.2,45,49,2014
6053,48.8,46.7,50.9,"2,095",2014
6055,46.2,42.7,49.9,647,2014
6057,37.5,33.8,41.5,368,2014
6059,31.3,30.7,31.9,"9,767",2014
6061,29.4,27.7,31.2,"1,079",2014
6063,33.2,25.6,42.4,65,2014
6065,41.6,40.8,42.5,"9,601",2014
6067,68.2,66.9,69.6,"9,987",2014
6069,53.7,47.9,60.1,307,2014
6071,59.8,58.8,60.9,"12,636",2014
6073,35.3,34.6,36,"11,286",2014
6075,37.3,36,38.6,"3,093",2014
6077,64.2,62.3,66,"4,588",2014
6079,31.9,29.9,34.1,870,2014
6081,35.5,34.2,36.9,"2,647",2014
6083,36.3,34.5,38.1,"1,571",2014
6085,30.3,29.6,31.1,"5,643",2014
6087,34.3,32.1,36.6,925,2014
6089,60.8,57.2,64.5,"1,095",2014
6091,,,,,2014
6093,43.2,37.3,49.8,192,2014
6095,78.9,76.2,81.6,"3,321",2014
6097,38.4,36.7,40.2,"1,895",2014
6099,64,61.9,66.2,"3,421",2014
6101,38.2,34.4,42.3,372,2014
6103,50.9,45.5,56.7,326,2014
6105,58.4,46.2,72.9,78,2014
6107,51,49,53.1,"2,373",2014
6109,44.8,39.3,50.8,242,2014
6111,33.7,32.5,35,"2,855",2014
6113,39.2,36.6,42,813,2014
6115,43.4,38.8,48.4,323,2014
6000,49.4,49.4,49.6,"191,480",2015
6001,62.9,61.7,64.2,"9,929",2015
6003,,,,,2015
6005,53,45.8,60.9,195,2015
6007,46.4,43.6,49.3,"1,043",2015
6009,41.1,35.4,47.4,185,2015
6011,43.5,35.3,53.1,97,2015
6013,62.7,61.2,64.2,"6,854",2015
6015,48.7,40.9,57.5,139,2015
6017,32.2,29.6,34.9,592,2015
6019,80.2,78.5,82,"7,933",2015
6021,42.4,35.2,50.7,122,2015
6023,61.4,57.3,65.7,832,2015
6025,72,68.2,75.9,"1,386",2015
6027,47.3,38,58.3,88,2015
6029,64.2,62.5,65.8,"5,850",2015
6031,79.3,74.9,83.8,"1,246",2015
6033,73.2,66.8,80.1,478,2015
6035,43.5,36.8,51.1,148,2015
6037,51.7,51.2,52.1,"52,115",2015
6039,63.8,59.9,67.8,"1,029",2015
6041,21.2,19.5,23.1,541,2015
6043,43.9,34.8,54.7,79,2015
6045,53.5,48.9,58.6,478,2015
6047,88.6,85.1,92.2,"2,420",2015
6049,56.2,42.1,73.6,53,2015
6051,29.6,21.4,39.9,43,2015
6053,50.8,48.7,53,"2,192",2015
6055,40.4,37.2,43.9,569,2015
6057,35.5,31.9,39.5,350,2015
6059,32.7,32,33.3,"10,260",2015
6061,30.2,28.5,32.1,"1,123",2015
6063,49.7,40.3,60.5,98,2015
6065,42.9,42.1,43.8,"10,095",2015
6067,68.4,67,69.7,"10,100",2015
6069,49.5,43.9,55.6,284,2015
6071,59.6,58.5,60.6,"12,741",2015
6073,36.1,35.4,36.7,"11,629",2015
6075,37.6,36.3,38.9,"3,136",2015
6077,66,64.1,67.9,"4,789",2015
6079,34.7,32.5,37,949,2015
6081,36,34.6,37.4,"2,688",2015
6083,39.8,37.9,41.7,"1,731",2015
6085,34.8,33.9,35.6,"6,514",2015
6087,33.5,31.3,35.7,905,2015
6089,55.6,52.2,59.1,"1,010",2015
6091,,,,,2015
6093,39.5,33.9,45.8,176,2015
6095,80.3,77.6,83,"3,407",2015
6097,38.9,37.2,40.7,"1,927",2015
6099,60.6,58.6,62.8,"3,279",2015
6101,33.9,30.4,37.8,335,2015
6103,49.7,44.4,55.4,321,2015
6105,50,38.7,63.5,67,2015
6107,53.6,51.6,55.8,"2,541",2015
6109,47.5,41.9,53.7,257,2015
6111,34.4,33.1,35.6,"2,927",2015
6113,40.7,38,43.5,851,2015
6115,45.6,40.9,50.7,345,2015
6000,44.2,44.2,44.5,"174,119",2016
6001,55.4,54.3,56.5,"9,073",2016
6003,,,,,2016
6005,50,43.1,57.7,186,2016
6007,34,31.7,36.5,766,2016
6009,38.2,32.7,44.4,171,2016
6011,29.9,23.2,38,67,2016
6013,53.2,51.8,54.5,"6,008",2016
6015,63.2,54.1,73.5,171,2016
6017,30.6,28.1,33.3,564,2016
6019,70,68.3,71.7,"6,922",2016
6021,35.4,28.9,43,103,2016
6023,59.8,55.8,64.1,814,2016
6025,68.7,65,72.6,"1,286",2016
6027,48.3,38.8,59.3,90,2016
6029,56.1,54.5,57.7,"4,986",2016
6031,68.5,64.4,72.9,"1,024",2016
6033,74.8,68.3,81.7,487,2016
6035,37.9,31.3,45.4,116,2016
6037,49.3,48.9,49.8,"50,476",2016
6039,61.3,57.5,65.3,954,2016
6041,20.6,18.9,22.4,543,2016
6043,36.5,28.3,46.5,66,2016
6045,50.3,45.8,55.2,448,2016
6047,81,77.6,84.4,"2,207",2016
6049,62.3,47.4,80.4,59,2016
6051,23.9,16.5,33.6,33,2016
6053,44.3,42.3,46.3,"1,953",2016
6055,30.9,28,33.9,439,2016
6057,27.1,23.9,30.5,267,2016
6059,27.9,27.3,28.4,"8,861",2016
6061,25.7,24.1,27.4,967,2016
6063,50.8,41.3,61.8,99,2016
6065,40.6,39.8,41.4,"9,576",2016
6067,59.3,58.1,60.6,"8,938",2016
6069,46,40.7,51.9,267,2016
6071,52.6,51.6,53.6,"11,302",2016
6073,30.5,29.9,31.1,"10,056",2016
6075,34.3,33.1,35.5,"2,987",2016
6077,57.3,55.6,59,"4,233",2016
6079,33.1,31,35.3,924,2016
6081,30.9,29.7,32.2,"2,377",2016
6083,36.5,34.8,38.4,"1,638",2016
6085,28.6,27.9,29.4,"5,522",2016
6087,31.2,29.2,33.4,862,2016
6089,40.6,37.7,43.7,724,2016
6091,,,,,2016
6093,28.9,24.1,34.3,128,2016
6095,76.9,74.3,79.6,"3,340",2016
6097,33.4,31.8,35,"1,681",2016
6099,50.6,48.7,52.5,"2,757",2016
6101,32.8,29.3,36.6,322,2016
6103,52.3,46.8,58.2,335,2016
6105,40.8,30.7,53.1,55,2016
6107,42.3,40.4,44.2,"1,979",2016
6109,41.3,36,47,224,2016
6111,30.6,29.4,31.8,"2,613",2016
6113,35.4,33,38,768,2016
6115,38.9,34.6,43.6,296,2016
6000,45.2,45.2,45.4,"179,503",2017
6001,53.9,52.7,55,"8,916",2017
6003,,,,,2017
6005,47,40.3,54.5,175,2017
6007,41.3,38.7,44,935,2017
6009,44,38,50.5,197,2017
6011,27.4,21,35.1,62,2017
6013,58.6,57.2,60,"6,697",2017
6015,54.7,46.2,64.2,148,2017
6017,35.1,32.4,37.9,649,2017
6019,77.8,76,79.5,"7,775",2017
6021,44.2,36.9,52.5,129,2017
6023,62,57.9,66.3,848,2017
6025,68.1,64.5,71.9,"1,290",2017
6027,58.9,48.4,70.9,110,2017
6029,53.9,52.4,55.5,"4,840",2017
6031,71.3,67,75.7,"1,072",2017
6033,73.8,67.4,80.7,481,2017
6035,42.4,35.4,50.4,130,2017
6037,48,47.6,48.4,"49,365",2017
6039,62.2,58.3,66.2,978,2017
6041,21.3,19.6,23.1,563,2017
6043,34.9,26.8,44.6,63,2017
6045,63,57.9,68.5,563,2017
6047,74.8,71.6,78.1,"2,063",2017
6049,81.7,64.4,102,77,2017
6051,28.9,20.7,39.4,40,2017
6053,43,41,44.9,"1,913",2017
6055,37.4,34.3,40.8,535,2017
6057,31,27.6,34.6,306,2017
6059,28.3,27.8,28.9,"9,069",2017
6061,31.3,29.5,33.1,"1,191",2017
6063,44.2,35.4,54.6,86,2017
6065,42,41.2,42.8,"10,057",2017
6067,66.3,65,67.6,"10,105",2017
6069,57.9,51.9,64.4,339,2017
6071,51.6,50.6,52.5,"11,181",2017
6073,31,30.4,31.6,"10,323",2017
6075,36.8,35.6,38.1,"3,240",2017
6077,64.9,63.1,66.8,"4,869",2017
6079,28.4,26.5,30.5,799,2017
6081,30.2,29,31.5,"2,342",2017
6083,32.5,30.8,34.2,"1,467",2017
6085,30,29.2,30.7,"5,849",2017
6087,27.7,25.7,29.7,770,2017
6089,40.4,37.5,43.4,720,2017
6091,,,,,2017
6093,35.9,30.5,41.9,159,2017
6095,87.5,84.8,90.3,"3,844",2017
6097,38.2,36.5,39.9,"1,937",2017
6099,55.6,53.7,57.6,"3,070",2017
6101,30.3,27,33.9,300,2017
6103,54.1,48.6,60.1,348,2017
6105,40.9,30.8,53.2,55,2017
6107,45,43.1,47,"2,132",2017
6109,45,39.5,51,244,2017
6111,32.9,31.7,34.1,"2,826",2017
6113,40.4,37.8,43.2,890,2017
6115,47.6,42.8,52.7,366,2017