"*Beginning for the 2015-16 season, reports from public health and clinical laboratories are presented separately in the weekly influenza update, FluView. Data from clinical laboratories include the weekly total number of specimens tested, the number of positive influenza test, and the percent positive by influenza type."
REGION TYPE,REGION,YEAR,WEEK,TOTAL SPECIMENS,TOTAL A,TOTAL B,PERCENT POSITIVE,PERCENT A,PERCENT B
States,California,2015,40,683,2,0,0.29,0.29,0
States,California,2015,41,661,3,2,0.76,0.45,0.3
States,California,2015,42,609,2,0,0.33,0.33,0
States,California,2015,43,677,0,0,0,0,0
States,California,2015,44,811,9,0,1.11,1.11,0
States,California,2015,45,873,6,3,1.03,0.69,0.34
States,California,2015,46,943,4,2,0.64,0.42,0.21
States,California,2015,47,858,4,1,0.58,0.47,0.12
States,California,2015,48,1015,9,7,1.58,0.89,0.69
States,California,2015,49,985,6,3,0.91,0.61,0.3
States,California,2015,50,1015,11,8,1.87,1.08,0.79
States,California,2015,51,1110,22,18,3.6,1.98,1.62
States,California,2015,52,1263,34,18,4.12,2.69,1.43
States,California,2016,1,1431,85,35,8.39,5.94,2.45
States,California,2016,2,1477,109,39,10.02,7.38,2.64
States,California,2016,3,1627,137,68,12.6,8.42,4.18
States,California,2016,4,1897,172,83,13.44,9.07,4.38
States,California,2016,5,2037,205,100,14.97,10.06,4.91
States,California,2016,6,2362,316,183,21.13,13.38,7.75
States,California,2016,7,2543,387,222,23.95,15.22,8.73
States,California,2016,8,2538,317,275,23.33,12.49,10.84
States,California,2016,9,2497,304,265,22.79,12.17,10.61
States,California,2016,10,2055,199,201,19.46,9.68,9.78
States,California,2016,11,2102,121,165,13.61,5.76,7.85
States,California,2016,12,1587,83,124,13.04,5.23,7.81
States,California,2016,13,1376,61,60,8.79,4.43,4.36
States,California,2016,14,1332,40,55,7.13,3,4.13
States,California,2016,15,1045,29,23,4.98,2.78,2.2
States,California,2016,16,986,23,16,3.96,2.33,1.62
States,California,2016,17,1064,20,15,3.29,1.88,1.41
States,California,2016,18,785,9,14,2.93,1.15,1.78
States,California,2016,19,649,11,4,2.31,1.69,0.62
States,California,2016,20,669,9,3,1.79,1.35,0.45
States,California,2016,21,596,6,5,1.85,1.01,0.84
States,California,2016,22,489,2,3,1.02,0.41,0.61
States,California,2016,23,503,4,1,0.99,0.8,0.2
States,California,2016,24,504,5,0,0.99,0.99,0
States,California,2016,25,509,0,2,0.39,0,0.39
States,California,2016,26,398,0,1,0.25,0,0.25
States,California,2016,27,365,1,0,0.27,0.27,0
States,California,2016,28,480,2,2,0.83,0.42,0.42
States,California,2016,29,517,4,0,0.77,0.77,0
States,California,2016,30,433,2,1,0.69,0.46,0.23
States,California,2016,31,452,1,0,0.22,0.22,0
States,California,2016,32,351,0,1,0.28,0,0.28
States,California,2016,33,475,0,1,0.21,0,0.21
States,California,2016,34,382,3,1,1.05,0.79,0.26
States,California,2016,35,434,3,0,0.69,0.69,0
States,California,2016,36,455,5,1,1.32,1.1,0.22
States,California,2016,37,569,3,0,0.53,0.53,0
States,California,2016,38,564,9,4,2.3,1.6,0.71
States,California,2016,39,624,4,2,0.96,0.64,0.32
States,California,2016,40,668,2,0,0.3,0.3,0
States,California,2016,41,708,5,0,0.71,0.71,0
States,California,2016,42,719,3,2,0.7,0.42,0.28
States,California,2016,43,698,9,2,1.58,1.29,0.29
States,California,2016,44,728,9,0,1.24,1.24,0
States,California,2016,45,839,10,1,1.31,1.19,0.12
States,California,2016,46,878,10,1,1.25,1.14,0.11
States,California,2016,47,840,15,2,2.02,1.79,0.24
States,California,2016,48,1063,17,2,1.79,1.6,0.19
States,California,2016,49,1021,30,2,3.13,2.94,0.2
States,California,2016,50,1222,64,4,5.56,5.24,0.33
States,California,2016,51,1342,105,1,7.9,7.82,0.07
States,California,2016,52,1630,186,9,11.96,11.41,0.55
States,California,2017,1,1867,291,0,15.59,15.59,0
States,California,2017,2,1953,313,7,16.39,16.03,0.36
States,California,2017,3,1791,234,8,13.51,13.07,0.45
States,California,2017,4,1725,211,8,12.7,12.23,0.46
States,California,2017,5,1820,248,12,14.29,13.63,0.66
States,California,2017,6,1844,276,11,15.56,14.97,0.6
States,California,2017,7,1797,192,12,11.35,10.68,0.67
States,California,2017,8,1532,140,12,9.92,9.14,0.78
States,California,2017,9,1428,92,10,7.14,6.44,0.7
States,California,2017,10,1494,80,13,6.22,5.35,0.87
States,California,2017,11,1408,87,18,7.46,6.18,1.28
States,California,2017,12,1224,62,18,6.54,5.07,1.47
States,California,2017,13,1118,42,21,5.64,3.76,1.88
States,California,2017,14,1121,44,35,7.05,3.93,3.12
States,California,2017,15,870,19,28,5.4,2.18,3.22
States,California,2017,16,890,11,25,4.04,1.24,2.81
States,California,2017,17,811,10,23,4.07,1.23,2.84
States,California,2017,18,715,8,21,4.06,1.12,2.94
States,California,2017,19,689,7,29,5.22,1.02,4.21
States,California,2017,20,701,4,29,4.71,0.57,4.14
States,California,2017,21,685,7,31,5.55,1.02,4.53
States,California,2017,22,652,4,22,3.99,0.61,3.37
States,California,2017,23,626,5,20,3.99,0.8,3.19
States,California,2017,24,537,1,9,1.86,0.19,1.68
States,California,2017,25,511,4,9,2.54,0.78,1.76
States,California,2017,26,470,8,11,4.04,1.7,2.34
States,California,2017,27,416,5,7,2.88,1.2,1.68
States,California,2017,28,504,5,3,1.59,0.99,0.6
States,California,2017,29,495,6,1,1.41,1.21,0.2
States,California,2017,30,430,2,3,1.16,0.47,0.7
States,California,2017,31,393,4,1,1.27,1.02,0.25
States,California,2017,32,417,5,2,1.68,1.2,0.48
States,California,2017,33,415,1,2,0.72,0.24,0.48
States,California,2017,34,471,3,3,1.27,0.64,0.64
States,California,2017,35,555,3,1,0.72,0.54,0.18
States,California,2017,36,525,7,1,1.52,1.33,0.19
States,California,2017,37,590,5,4,1.53,0.85,0.68
States,California,2017,38,671,7,1,1.19,1.04,0.15
States,California,2017,39,788,8,1,1.14,1.02,0.13
States,California,2017,40,794,5,2,0.88,0.63,0.25
States,California,2017,41,832,17,2,2.28,2.04,0.24
States,California,2017,42,882,19,2,2.38,2.15,0.23
States,California,2017,43,922,34,3,4.01,3.69,0.33
States,California,2017,44,1016,52,15,6.59,5.12,1.48
States,California,2017,45,1086,70,8,7.18,6.45,0.74
States,California,2017,46,1159,86,13,8.54,7.42,1.12
States,California,2017,47,1272,172,11,14.39,13.52,0.86
States,California,2017,48,1439,192,21,14.8,13.34,1.46
States,California,2017,49,1807,336,42,20.92,18.59,2.32
States,California,2017,50,2336,601,73,28.85,25.73,3.13
States,California,2017,51,3143,917,156,34.14,29.18,4.96
States,California,2017,52,3339,1090,205,38.78,32.64,6.14
States,California,2018,1,3272,823,191,30.99,25.15,5.84
States,California,2018,2,2893,460,179,22.09,15.9,6.19
States,California,2018,3,2476,269,145,16.72,10.86,5.86
States,California,2018,4,2427,216,187,16.6,8.9,7.7
States,California,2018,5,2509,208,233,17.58,8.29,9.29
States,California,2018,6,2778,178,307,17.46,6.41,11.05
States,California,2018,7,2605,142,292,16.66,5.45,11.21
States,California,2018,8,2137,90,204,13.76,4.21,9.55
States,California,2018,9,2130,94,253,16.29,4.41,11.88
States,California,2018,10,2041,104,230,16.36,5.1,11.27
States,California,2018,11,1976,91,227,16.09,4.61,11.49
States,California,2018,12,1632,45,122,10.23,2.76,7.48
States,California,2018,13,1308,23,76,7.57,1.76,5.81
States,California,2018,14,1084,16,64,7.38,1.48,5.9
States,California,2018,15,855,8,34,4.91,0.94,3.98
States,California,2018,16,568,8,11,3.35,1.41,1.94
States,California,2018,17,689,15,12,3.92,2.18,1.74
States,California,2018,18,621,5,6,1.77,0.81,0.97
States,California,2018,19,553,1,2,0.54,0.18,0.36
States,California,2018,20,519,2,5,1.35,0.39,0.96
States,California,2018,21,430,5,3,1.86,1.16,0.7
States,California,2018,22,407,2,0,0.49,0.49,0
States,California,2018,23,402,0,7,1.74,0,1.74
States,California,2018,24,350,0,1,0.29,0,0.29
States,California,2018,25,362,1,0,0.28,0.28,0
States,California,2018,26,216,1,0,0.46,0.46,0
States,California,2018,27,283,0,1,0.35,0,0.35
States,California,2018,28,193,1,0,0.52,0.52,0
States,California,2018,29,232,0,0,0,0,0
States,California,2018,30,207,2,0,0.97,0.97,0
States,California,2018,31,212,3,0,1.42,1.42,0
States,California,2018,32,219,3,0,1.37,1.37,0
States,California,2018,33,225,2,0,0.89,0.89,0
States,California,2018,34,213,0,0,0,0,0
States,California,2018,35,230,0,0,0,0,0
States,California,2018,36,269,0,1,0.37,0,0.37
States,California,2018,37,324,2,1,0.93,0.62,0.31
States,California,2018,38,285,0,1,0.35,0,0.35
States,California,2018,39,355,4,0,1.13,1.13,0
States,California,2018,40,409,2,1,0.73,0.49,0.24
States,California,2018,41,410,4,1,1.22,0.98,0.24
States,California,2018,42,457,5,2,1.53,1.09,0.44
States,California,2018,43,431,3,0,0.7,0.7,0
States,California,2018,44,549,11,1,2.19,2,0.18
States,California,2018,45,601,12,0,2,2,0
States,California,2018,46,612,13,0,2.12,2.12,0
States,California,2018,47,647,35,1,5.56,5.41,0.15
States,California,2018,48,846,64,0,7.57,7.57,0
States,California,2018,49,958,139,1,14.61,14.51,0.1
States,California,2018,50,1251,251,4,20.38,20.06,0.32
States,California,2018,51,1244,223,4,18.25,17.93,0.32
States,California,2018,52,1231,197,5,16.41,16,0.41
States,California,2019,1,1196,135,4,11.62,11.29,0.33
States,California,2019,2,1350,187,4,14.15,13.85,0.3
States,California,2019,3,1174,175,5,15.33,14.91,0.43
States,California,2019,4,1118,129,6,12.08,11.54,0.54
States,California,2019,5,1270,168,6,13.7,13.23,0.47
States,California,2019,6,1134,122,6,11.29,10.76,0.53
States,California,2019,7,1145,158,2,13.97,13.8,0.17
States,California,2019,8,1160,175,10,15.95,15.09,0.86
States,California,2019,9,1181,206,6,17.95,17.44,0.51
States,California,2019,10,1243,179,4,14.72,14.4,0.32
States,California,2019,11,1224,145,8,12.5,11.85,0.65
States,California,2019,12,1222,158,7,13.5,12.93,0.57
States,California,2019,13,1090,111,2,10.37,10.18,0.18
States,California,2019,14,973,88,7,9.76,9.04,0.72
States,California,2019,15,823,37,4,4.98,4.5,0.49
States,California,2019,16,747,42,2,5.89,5.62,0.27
States,California,2019,17,729,20,5,3.43,2.74,0.69
States,California,2019,18,644,11,15,4.04,1.71,2.33
States,California,2019,19,600,15,3,3,2.5,0.5
States,California,2019,20,510,3,3,1.18,0.59,0.59
States,California,2019,21,516,6,3,1.74,1.16,0.58
States,California,2019,22,456,3,3,1.32,0.66,0.66
States,California,2019,23,411,6,5,2.68,1.46,1.22
States,California,2019,24,348,3,1,1.15,0.86,0.29
States,California,2019,25,308,1,0,0.32,0.32,0
States,California,2019,26,269,2,0,0.74,0.74,0
States,California,2019,27,287,4,2,2.09,1.39,0.7
States,California,2019,28,300,2,2,1.33,0.67,0.67
States,California,2019,29,269,2,1,1.12,0.74,0.37
States,California,2019,30,266,2,0,0.75,0.75,0
States,California,2019,31,278,1,0,0.36,0.36,0
States,California,2019,32,248,1,3,1.61,0.4,1.21
States,California,2019,33,303,4,2,1.98,1.32,0.66
States,California,2019,34,270,4,0,1.48,1.48,0
States,California,2019,35,423,5,3,1.89,1.18,0.71
States,California,2019,36,390,5,1,1.54,1.28,0.26
States,California,2019,37,441,4,0,0.91,0.91,0
States,California,2019,38,471,3,4,1.49,0.64,0.85
States,California,2019,39,520,6,1,1.35,1.15,0.19
States,California,2019,40,1436,18,10,1.95,1.25,0.7
States,California,2019,41,1454,26,11,2.54,1.79,0.76
States,California,2019,42,148,0,0,0,0,0
